filename,total_time_seconds,timestamp,project_name_time,owner_operator_time,location_county_time,location_city_time,location_river_time,generation_capacity_time,plant_type_time,licensing_dates_time,key_stakeholders_time,project_costs_time,migratory_fish_species_time,minimum_flow_time
P2307_License_20180206.pdf,125.34,2026-01-06T12:23:20.238753,6.00,10.31,9.41,4.40,19.39,8.62,4.50,11.86,6.03,20.62,10.15,9.82
P2373_License_19930930.pdf,72.72,2026-01-06T12:24:32.961486,8.65,5.60,4.07,3.85,3.90,4.02,4.06,13.48,5.25,8.94,3.96,4.65
P2517_License_20040512.pdf,130.77,2026-01-06T12:26:43.741368,8.31,7.88,4.46,11.99,4.55,7.44,4.58,14.29,8.52,24.92,12.42,19.04
P2566_License_20010620.pdf,109.10,2026-01-06T12:28:32.846936,7.30,4.49,3.98,3.83,4.02,4.12,4.19,9.48,5.12,11.36,18.14,7.37
P2724_License_20011221.pdf,104.02,2026-01-06T12:30:16.869517,9.02,8.85,4.23,5.16,4.23,4.29,4.36,9.39,6.36,24.09,11.46,10.91
P2742_License_19780621.pdf,112.29,2026-01-06T12:32:09.162783,5.32,8.05,18.36,4.20,4.44,4.36,4.32,19.20,4.85,20.56,4.24,7.38
P2743_License_19811005.pdf,165.84,2026-01-06T12:34:55.008716,8.72,8.87,22.37,5.13,8.19,23.58,5.16,17.55,9.02,14.90,31.81,8.27
P2972_License_19801106.pdf,78.48,2026-01-06T12:36:13.499834,4.76,11.15,4.24,4.22,4.23,4.30,4.37,10.01,9.69,11.45,4.23,4.31
P3015_License_19810805.pdf,75.05,2026-01-06T12:37:28.549319,6.77,4.79,4.03,4.04,4.03,6.82,4.06,11.07,7.61,6.99,5.26,8.00
P3017_License_19800717.pdf,100.44,2026-01-06T12:39:08.993583,4.82,7.54,7.84,4.16,11.30,5.00,4.39,14.58,10.03,12.32,4.23,10.96
P308_License_20170105.pdf,110.76,2026-01-06T12:40:59.756102,7.52,8.12,4.87,4.59,4.81,4.80,4.91,19.63,7.95,19.11,9.06,7.85
P420_License_20000829.pdf,111.49,2026-01-06T12:42:51.251975,4.74,5.41,18.69,4.05,4.21,4.13,4.07,12.80,12.35,12.22,17.90,5.36
P620_License_20060208.pdf,125.62,2026-01-06T12:44:56.880985,12.40,12.37,7.61,4.57,4.50,4.95,4.66,12.84,6.86,23.60,20.37,8.29
P7396_License_19860416.pdf,86.86,2026-01-06T12:46:23.746170,5.90,7.55,4.83,7.64,4.77,4.84,4.88,6.95,6.54,8.62,16.23,4.85
P7828_License_19951226.pdf,116.31,2026-01-06T12:48:20.065921,10.22,10.13,4.29,10.53,4.31,4.36,4.47,8.91,9.85,15.48,23.51,7.88
P8221_License_19851231.pdf,101.96,2026-01-06T12:50:02.033463,5.27,6.89,14.60,9.77,3.99,5.56,3.98,10.70,12.06,7.07,7.41,8.05
P925_License_20080430.pdf,98.89,2026-01-06T12:51:40.929594,8.81,6.89,4.38,4.38,4.47,4.42,4.55,11.42,5.46,32.15,4.48,4.80
