filename,project_name,owner_operator,location_county,location_city,location_river,generation_capacity,plant_type,licensing_dates,key_stakeholders,project_costs,migratory_fish_species,minimum_flow,location_combined
P10773_License_19900131.pdf,"The official project name is ""Burnett River Hatchery Project"" (also referred to as ""Project No. 10773-000""). Additionally, a dam is mentioned as part of the project, specifically ""a new 2-foot-high dam across the mouth of Burnett Lake"", but it does not have a distinct name mentioned in the document. Therefore, the most complete project name found is:

""Project No. 10773-000, Burnett River Hatchery Project""","Owned by Alaska Aquaculture, Inc., Operated by Alaska Aquaculture, Inc. 

(Note: The document does not mention a separate operator, so it appears that Alaska Aquaculture, Inc. is both the owner and operator of the hydroelectric project.)",Not mentioned.,"Not mentioned. 

There is no mention of a specific city or town in the provided document text. The location descriptions only refer to the Burnett River, Tongass National Forest, and Alaska in general, but do not specify a nearest city or town.",Burnett River,The total installed capacity is 330 kW (250 kW from the primary system and 80 kW from the secondary system).,Run-of-river.,"Here are the key licensing dates extracted from the document:

* Original license: January 31, 1990 (the date the order issuing the license was issued)
* License issuance date: The first day of the month in which this order is issued (since the order is dated January 31, 1990, the license issuance date would be February 1, 1990)
* License expiration date: 50 years from the effective date of the license (February 1, 2040)

No amendment dates or relicensing dates are mentioned in the document.","FERC, National Marine Fisheries Service (NMFS), U.S. Forest Service, Alaska Division of Parks.","Not mentioned. 

There are no specific dollar amounts or costs mentioned in the document text related to construction, operation, mitigation measures, environmental compliance, capital improvements, or any other project-related expenditures.","Anadromous fish resources are mentioned, but no specific migratory or anadromous fish species are named in the document.

The answer is: Not mentioned","Not mentioned. 

The document does not mention a minimum flow requirement or minimum release requirement for the project. It discusses various aspects of the license application, environmental assessment, and terms and conditions of the license, but does not specify a minimum flow value with units or any important conditions related to flow releases.",Burnett River
P10813_License_19920925.pdf,"The most complete project name found is ""Summersville Hydroelectric Project, Project No. 10813-000"". 

This name includes both the official name of the project (""Summersville Hydroelectric Project"") and its associated FERC project number (""Project No. 10813-000"").","Owned by Town of Summersville, West Virginia, Operated by Town of Summersville, West Virginia. 

Note: The document does not mention a different operator, so it is assumed that the owner, Town of Summersville, West Virginia, is also the operator.",Nicholas County,Summersville,Gauley River,80 MW,Run-of-river.,"Here are the key licensing dates for the FERC-licensed project:

* Original license application: 1983 (dismissed in 1984), and again in 1988 (rejected due to deficiencies) and 1989 (accepted for filing)
* License issuance date: September 25, 1992
* Preliminary permit dates: 
  - 1981 (issued to Summersville)
  - 1986 (issued to Summersville, but surrendered)
  - August 8, 1988 (Manassas filed a permit application)
* Amendment dates: Not mentioned
* License expiration date: Not mentioned
* Relicensing dates: Not mentioned

Note that the document does not provide information on amendment dates, license expiration dates, or relicensing dates. The original license date is not explicitly stated, but it can be inferred that the project was first licensed on September 25, 1992.","FERC, U.S. Army Corps of Engineers, West Virginia Division of Natural Resources, American Whitewater Affiliation, American Rivers, Incorporated, Town of Summersville, City of Manassas.",Not mentioned,Not mentioned.,Not mentioned.,Nicholas County; Summersville; Gauley River
P10853_License_19911205.pdf,"The official project name is ""Otter Tail River Project"" (also referenced as ""Project No. 10853-000"").",Owned and Operated by Otter Tail Power Company.,Otter Tail County,"The nearest city or town is not explicitly mentioned in the document text. However, based on the mention of ""Otter Tail County, Minnesota"", it can be inferred that the project is located near a city or town within that county.

After researching, I found that Otter Tail County is located in western Minnesota, and some of the nearby cities and towns include:

* Fergus Falls (county seat)
* Perham
* New York Mills
* Ottertail (an unincorporated community)

Since the document text does not provide a specific city or town name, I will return ""Not mentioned"" as the answer. However, if I had to make an educated guess based on the county information, I would suggest Fergus Falls as a possible nearby city.",Otter Tail River,"3,450 kilowatt (kW)",run-of-river,"Here are the key licensing dates for the FERC-licensed Otter Tail Power Company project:

* Original license: Not mentioned (should have been licensed in 1939)
* License issuance date: Not explicitly stated
* Amendment dates: Not mentioned
* License expiration date: 30 years from the first day of the month in which the license is issued (effective date backdated 20 years)
* Relicensing dates: Not mentioned

Note that the document mentions that the project ""should have been licensed"" in 1939, but it does not provide a specific original license date. The license issuance date is also not explicitly stated. However, it is mentioned that the effective date of the license will be backdated 20 years and the license will expire 30 years from the first day of the month in which it is issued.","FERC, U.S. Fish and Wildlife Service, Minnesota state agencies (implied, but not explicitly mentioned), Otter Tail Power Company, local communities (implied, but not explicitly mentioned). 

Note that the document does mention ""agencies and individuals"" were consulted, but it doesn't specifically name them except for FERC. However, based on the context of a hydropower project, it's likely that state agencies such as the Minnesota Department of Natural Resources would have been involved.","Here are the extracted costs with context:

* Annual charges: Not specified, but will be assessed from the effective date.
* Backdated annual charges: Equivalent to the annual charges that would have been due for the period between January 1, 1939, and November 30, 1971 (amount not specified).
* Energy generation losses:
	+ Otter Tail's proposal: approximately $31,441 annually (2,059 MWh/year loss at the five developments).
	+ Commission's required operation: approximately $36,083 annually (2,363 MWh/year loss at the five developments) + $9,919 annually (4,947 MWh/year loss at the Hoot Lake Thermal Plant) = $46,002 annually.
* Construction costs: Not mentioned.
* Annual operational costs: Not specified.
* Mitigation measure costs: Not specified.
* Environmental compliance costs: Not specified.
* Capital improvements: Not specified.

Note that some of these values are not directly",Not mentioned,"30 cfs from the day after Labor Day through March, 110 cfs during April and May, and 60 cfs June through Labor Day.",Otter Tail County; Otter Tail River
P11243_License_19971224.pdf,"The most complete project name found is ""Project No. 11243-002, Power Creek Hydroelectric Project"" or simply ""Power Creek Project"" as it appears throughout the document with the FERC project number (P-11243) associated with it. Therefore, the answer is:

Project No. 11243-002, Power Creek Hydroelectric Project","Owned by Eyak Corporation, Operated by Whitewater Engineering Corporation, Inc.",Not mentioned.,Cordova,Power Creek,6.0 MW,run-of-river,"Original license: December 24, 1997; 
No other significant licensing dates (amendment dates, license expiration date, relicensing dates) are mentioned in the document.","FERC, U.S. Fish and Wildlife Service, National Marine Fisheries Service, U.S. Army Corps of Engineers, Alaska Department of Natural Resources, Alaska Department of Fish and Game, Alaska Department of Environmental Conservation, U.S. Forest Service, Eyak Corporation (native corporation)","Here are the extracted costs with context:

* Annual operational cost: $1,460,000 (or $102.8 million per gigawatt-hour)
* Value of annual power generation: $1,903,000 (or $134.0 million per gigawatt-hour)
* Cost savings compared to alternative diesel generation: $443,000 annually (or $31.2 million per gigawatt-hour)
* Revised annual operational cost with additional environmental monitoring and public safety plan: $1,464,830 (or $103.2 million per gigawatt-hour)
* Revised cost savings compared to alternative diesel generation: $438,170 annually (or $30.8 million per gigawatt-hour)

Note that there are no mentions of construction costs, mitigation measure costs, environmental compliance costs, or capital improvements in the provided document text.",Not mentioned.,"Not mentioned. 

The document does not mention any minimum flow requirements, including minimum instantaneous flow, minimum daily average flow, base flow requirements, environmental flow requirements, required continuous releases, or license article requirements specifying flows.",Cordova; Power Creek
P11588_License_20021015.pdf,"The most complete project name found is ""Project No. 11588, Otter Creek Hydroelectric Project"".",Owned and Operated by Alaska Power and Telephone Company (APT).,Not mentioned.,"The nearest city to this project/dam is Skagway, as it is mentioned that the proposed project would be located ""3 miles south of the City of Skagway"".","Kasidaya Creek, at Taiya Inlet",3.0 MW,run-of-river,"Original license: October 15, 2002; 

No other significant licensing dates (amendment dates, license expiration date, relicensing dates) are mentioned in the document.","FERC, U.S. Fish and Wildlife Service, National Marine Fisheries Service, U.S. Army Corps of Engineers, U.S. Forest Service, Alaska Department of Fish and Game, Alaska Department of Environmental Conservation.","Not mentioned. 

There are no specific dollar amounts or financial information related to project costs, expenditures, or mitigation measures mentioned in the provided document text. The text primarily discusses regulatory procedures, environmental concerns, and licensing conditions for the Otter Creek Project, but does not include any financial details.","Dolly Varden char, an anadromous fish species, is mentioned in the document as requiring fish passage measures. However, no salmon species (Chinook, Coho, Sockeye, etc.) or Steelhead trout are explicitly mentioned.

Therefore, the answer is: Dolly Varden char.","5 cfs continuous 

This is mentioned in Article 411 and also described in the project description as ""an intake structure with an orifice that would continuously release 5 cubic feet per second (cfs)"".","The nearest city to this project/dam is Skagway, as it is mentioned that the proposed project would be located ""3 miles south of the City of Skagway"".; Kasidaya Creek, at Taiya Inlet"
P11659_License_20041029.pdf,"The most complete project name found in the document is:

""Falls Creek Project No. 11659""

or alternatively, with the docket number included:

""Falls Creek Project No. 11659-002"" 

However, since ""Project No. 11659-002"" seems to be a subset or amendment of the original ""Project No. 11659"", the most complete and official project name is likely:

""Gustavus Electric Company, Project No. 11659, Falls Creek Project""

But based on the provided instructions to return the full designation if multiple names exist, the answer would be:

""Falls Creek Project No. 11659""","Owned by State of Alaska, Operated by Gustavus Electric Company. 

Note: Although the document does not explicitly state that the State of Alaska will own the project, it mentions that the lands on which the project facilities would be located would be conveyed to Alaska as part of a land exchange. Gustavus Electric Company is mentioned as the applicant for the license and is likely to be the operator of the project.",Not mentioned,Gustavus,Kahtaheena River (also known as Falls Creek),800 kW,run-of-river,"Here are the key licensing dates extracted from the document:

* Original license application: October 23, 2001
* License issuance date: October 29, 2004

No other significant dates were found, including amendment dates, license expiration date, or relicensing dates. Therefore, the answer is:

Original license application: October 23, 2001; License issuance date: October 29, 2004; Amendment: Not mentioned; License expiration date: Not mentioned; Relicensing dates: Not mentioned.","FERC, U.S. Department of the Interior, State of Alaska, National Park Service (NPS)","Not mentioned 

(Note: Although there are some mentions of costs, such as the cost of interconnection to a transmission grid exceeding $26 million, and high capital costs of fuel cells and tidal generating facilities, there is no specific mention of project-related costs, expenditures, or financial information in the context of construction costs, annual operational costs, mitigation measure costs, environmental compliance costs, or capital improvements.)","Anadromous fish are mentioned in the document as being affected by the project. Specifically, it is stated that ""The lower waterfall is impassable to anadromous upstream migrating fish."" However, no specific species of migratory or anadromous fish are mentioned.

Therefore, the answer is: Not mentioned","Not mentioned 

The document does not specify a minimum flow requirement or minimum release requirement for the Falls Creek Project. Although it mentions that ""The bypassed reach would be subject to a minimum flow requirement,"" it does not provide the actual flow value or any conditions related to this requirement.",Gustavus; Kahtaheena River (also known as Falls Creek)
P11841_License_20090317.pdf,"The official project name is ""Whitman Lake Hydroelectric Project"" with the FERC project number ""Project No. 11841-002"". Therefore, the most complete project name found is:

""Project No. 11841-002, Whitman Lake Hydroelectric Project""

or more specifically, it can also be referred to as:

""Ketchikan Public Utilities Project No. 11841-002, Whitman Lake Project"" 

However, since ""Whitman Lake Hydroelectric Project"" is the name that directly refers to the project and includes its purpose (hydroelectric), this will be considered the most complete and accurate name for the project in the context provided.","Owned by Ketchikan Public Utilities, Operated by Ketchikan Public Utilities. 

Note: Although Ketchikan Electric Company is mentioned as an intervener, there is no indication that they are the operator of the project. Ketchikan Public Utilities is the applicant and licensee, and it appears to be responsible for constructing, operating, and maintaining the project.","Not mentioned. 

Note: Although the document mentions ""Ketchikan Gateway Borough"", it does not explicitly mention a county name. In Alaska, boroughs are equivalent to counties in other states, but the instruction asks for ""county"" names. Therefore, based on the given instructions, the answer is ""Not mentioned"".",Ketchikan,Whitman Creek,"4,600 kW",Run-of-river.,"Here are the key licensing dates for the FERC-licensed project:

Original license: March 17, 2009; 
License expiration date: Not mentioned (but it is a 50-year license, as stated in the document);
Amendment dates: February 8, 2008 ( Settlement Agreement amending the proposal);
Other significant dates: September 10, 2004 (application for original license filed), December 7, 2005 (public notice of application published), November 30, 2005 (Commission issued public notice that the project was ready for environmental analysis), June 19, 2007 (Environmental Assessment prepared by Commission staff), July 2, 2008 (final Environmental Assessment issued).","FERC, U.S. Forest Service, Alaska Department of Fish and Game, Alaska Department of Natural Resources, Southern Southeast Regional Aquaculture Association, Ketchikan Gateway Borough, U.S. Bureau of Land Management, Ketchikan Electric Company, Ketchikan Public Utilities.","Not mentioned. 

There is no mention of project-related costs, expenditures, or financial information in the provided document text.","Chinook salmon, Coho salmon, Sockeye salmon, Steelhead trout, Bull trout. 

These species are not explicitly mentioned in the text but ""salmonids"" is mentioned which refers to a family of fish that includes Salmon and Steelhead trout, and other migratory fish. Since specific types of salmonids (such as Chinook, Coho, Sockeye) are commonly found in similar contexts and Bull trout is also an ESA-listed species often associated with these fish, it can be inferred they might be relevant to the project. However, without explicit mention, this inference may not be entirely accurate.

Given the context provided and focusing strictly on the information given:

The answer should actually be: Salmonids (including but not limited to Chinook salmon, Coho salmon, Sockeye salmon, Steelhead trout). 

Since ""salmonids"" is mentioned directly in relation to preventing false attraction of these fish returning to the Whitman Hatchery and considering the context","Not mentioned. 

Although there are mentions of flows, such as the average annual inflow into Whitman Lake (75 cfs) and the flow drawn by the Whitman Hatchery (30 cfs), these do not appear to be minimum flow requirements or releases mandated for environmental or licensing purposes. The text discusses various aspects of the project, including its facilities, operations, and environmental considerations, but it does not specify a minimum flow requirement that must be maintained for environmental protection or other reasons.",Ketchikan; Whitman Creek
P1235_License_19890531.pdf,"The official project name or dam name mentioned in the document is:

""Project No. 1235, Municipal Hydroelectric Plant Project""

This name is mentioned throughout the document as the project being relicensed by the Federal Energy Regulatory Commission (FERC). The FERC project number ""P-1235"" is implied but not explicitly stated; instead, ""Project No. 1235"" is used consistently.","Owned by City of Radford, Virginia, Operated by City of Radford, Virginia (as a municipal utility, specifically its electric department).",Montgomery and Pulaski Counties,Radford,Little River,"The hydroelectric generation capacity of this project is 1.2 megawatts (MW). Alternatively, it can also be expressed as 1,200 kW, since the project has a powerhouse containing one 1,000-kW hydropower unit, but the total capacity mentioned is 1.2 MW.",run-of-river,"Not mentioned 

The document does not provide specific dates for the original license, license issuance, amendment, expiration, or relicensing of the project. It only mentions that the project has been operated for over 54 years under its existing license, but it does not give a specific date for when the original license was issued.","FERC, U.S. Fish and Wildlife Service, Virginia Department of Conservation and Historic Resources, Virginia State Water Control Board","Here are the project-related costs mentioned in the document:

* Annual operational cost: $30,000
* Average total per-unit production cost: approximately 6 mills per kWh
* Estimated net savings in annual purchased power costs: approximately $150,000

No construction costs, mitigation measure costs, environmental compliance costs, or capital improvements are mentioned.",Not mentioned.,"25 cfs (leakage from Taintor gates, which bypasses the turbines and adequately protects the aquatic environment downstream)",Montgomery and Pulaski Counties; Radford; Little River
P12379_License_20031224.pdf,"The official project name is ""Lake Dorothy Hydroelectric Project"", also referred to as ""Project No. 12379-000"". 

So, the most complete project name found is: ""Project No. 12379-000, Lake Dorothy Hydroelectric Project""","Owned by Lake Dorothy Hydro, Inc., Operated by Lake Dorothy Hydro, Inc. 

(Note: The document does not mention a separate operator, so it is assumed that Lake Dorothy Hydro, Inc. is both the owner and operator.)","Not mentioned. 

The document does mention that the project is located near Juneau, Alaska, and within the Tongass National Forest, but it does not explicitly mention a specific county name. Alaska does not have counties like the other states in the US; instead, it has boroughs. The area around Juneau is part of the City and Borough of Juneau, but this information is also not mentioned in the document.",Juneau,Dorothy Creek,14.3 MW,Peaking,"Here are the key licensing dates for the FERC-licensed Lake Dorothy Hydroelectric Project:

* Original license: December 24, 2003
* License application filing date: September 27, 2002
* No amendment or relicensing dates mentioned in the document.
* No license expiration date mentioned in the document.

Note that the document mentions an amendment to the license application filed on April 2, 2003, but this is not an amendment to the license itself, rather an update to the application. 

So the answer can be summarized as: 
Original license: December 24, 2003; License application filing date: September 27, 2002.","Here is the list of major stakeholders mentioned in the document:

* FERC (Federal Energy Regulatory Commission)
* U.S. Fish and Wildlife Service
* Forest Service (United States Department of Agriculture)
* Alaska Department of Fish and Game 

Note that no tribal nations, environmental organizations, local governments, or utility companies (other than the applicant, Lake Dorothy Hydro, Inc.) are mentioned as stakeholders in the document.","Here are the extracted costs with context:

* Mitigation measure costs: $18,000 (to assess baseline information on lake stage and fish passage) and $70,000 (to fund aquatic habitat restoration and/or sport fishing access projects)
* Environmental compliance costs: Not explicitly mentioned, but there are requirements for consulting with agencies, developing plans, and implementing measures to mitigate environmental impacts.
* Other costs: Not mentioned, including construction costs, annual operational costs, and capital improvements.

So the answer is:
Mitigation measure costs: $18,000; Off-site mitigation: $70,000; 
(Note: Other costs are not mentioned)",Not mentioned.,"Not mentioned. 

The document does not mention any minimum flow requirements, including minimum instantaneous flow, minimum daily average flow, base flow requirements, environmental flow requirements, required continuous releases, or license article requirements specifying flows. The Settlement Agreement between Alaska Fish & Game and LDHI mentions that no reservoir operational restrictions or instream flow requirements would be recommended, but it does not provide any specific flow values or conditions.",Juneau; Dorothy Creek
P12775_License_20110421.pdf,"The official project name or dam name mentioned in the document is:

""Spearfish Hydroelectric Project No. 12775""

Additionally, the dam is specifically referred to as the ""Maurice Dam"". However, since the question asks for the most complete project name found, I will return the full designation that includes both the project number and the commonly used project name:

""Project No. 12775, Spearfish Hydroelectric Project"" 

or more simply as it appears in the document:

""Spearfish Hydroelectric Project No. 12775""","Owned by City of Spearfish, Operated by City of Spearfish. 

Note: The document mentions that Homestake Mining Company was the previous owner and operator, but it conveyed ownership to the City of Spearfish in 2004, and the City has been operating the project since then.",Lawrence County,Spearfish,Spearfish Creek,4.0 MW,run-of-river,"Here are the key licensing dates for the FERC-licensed project:

Original license: April 21, 2011; 
No amendment or relicensing dates mentioned;
License expiration date: Not mentioned.

Note that the document mentions the project was initially operated under a right-of-way grant issued in 1909, which expired. The City of Spearfish filed an application for an original license on September 10, 2008, and the Commission issued the original license on April 21, 2011.","FERC, U.S. Department of Agriculture's Forest Service, U.S. Department of the Interior, South Dakota Department of Game, Fish, and Parks, South Dakota Department of Environmental and Natural Resources, U.S. Fish and Wildlife Service.","Not mentioned. 

There is no mention of project-related costs, expenditures, or financial information in the provided document text.","Not mentioned. 

There is no mention of migratory or anadromous fish species such as salmon, steelhead trout, or other species requiring fish passage or protection measures, including ESA-listed species, in the provided document text. The text primarily discusses the operation and environmental measures related to the Spearfish Creek hydroelectric project, focusing on aspects like minimum flow releases, erosion control, and protection of species such as the American dipper, but does not reference migratory fish species.","Not mentioned. 

The document does not mention any minimum flow requirements or releases for the Spearfish Hydroelectric Project. It describes the project's facilities, operation, and environmental considerations but does not specify any minimum instantaneous flow, daily average flow, base flow requirements, environmental flow requirements, or required continuous releases.",Lawrence County; Spearfish; Spearfish Creek
P13124_License_20130801.pdf,"The official project name is ""Allison Creek Hydroelectric Project No. 13124"" or more simply ""Project No. 13124, Allison Creek Project"". 

The most complete project name found is: ""Project No. 13124, Allison Creek Hydroelectric Project""","Owned and Operated by Copper Valley Electric Association, Inc.",Not mentioned.,Valdez,Allison Creek,6.5 MW,run-of-river,"Here are the key licensing dates for the FERC-licensed project:

* Original license: August 1, 2013
* License application filing date: August 30, 2011
* Public notice publication date: December 19, 2011 (76 Fed. Reg. 78628)
* Deadline for filing motions to intervene and comments: February 7, 2012
* Draft Environmental Assessment issuance date: December 28, 2012
* Final Environmental Assessment issuance date: June 21, 2013

No amendment dates, license expiration date, or relicensing dates are mentioned in the document.","FERC, U.S. Fish and Wildlife Service, National Marine Fisheries Service, Alaska Department of Fish and Game.","Not mentioned. 

There are no specific dollar amounts or financial information mentioned in the document related to construction costs, annual operational costs, mitigation measure costs, environmental compliance costs, capital improvements, or any other project-related expenditures.",Not mentioned.,"10 cfs (June 16 through October 31), 8 cfs (November 1 through June 15) for seasonal releases at the diversion dam to maintain minimum flow in the lower bypassed reach, and a minimum flow of 2 cfs at the diversion dam into the bypassed reach when the project is operating. 

The most specific or restrictive requirement appears to be: 
- 10 cfs (June 16 through October 31)
- 8 cfs (November 1 through June 15)
- 2 cfs minimum flow at the diversion dam when the project is operating.",Valdez; Allison Creek
P13526_License_20100819.pdf,"The most complete project name found in the document is:

""Project No. 13526-002, Expanded Kansas River Hydropower Project""

Additionally, another related project name mentioned is:

""Project No. 2644-001, Kansas River Project""

However, since ""Project No. 13526-002, Expanded Kansas River Hydropower Project"" seems to be the primary and more specific designation for the project being licensed, this will be considered the most complete project name found in the document.","Owned by Bowersock Mills and Power Company, Operated by Bowersock Mills and Power Company. 

Note: The document does not mention any other entity operating the dam or project, so it appears that Bowersock Mills and Power Company is both the owner and operator. Additionally, Westar Energy (now known as Evergy) is mentioned as owning a substation, but not as an owner or operator of the hydroelectric project itself.",Douglas County,Lawrence,Kansas River,6.5 MW,Run-of-river.,"Here are the key licensing dates extracted from the document:

Original license: August 19, 2010
Exemption issuance date: November 15, 1985 (for Project No. 2644-001)
License expiration date: Not mentioned
Amendment dates: Not mentioned
Relicensing dates: Not mentioned

Note that the exemption for Project No. 2644-001 was surrendered upon the issuance of the original license for the Expanded Kansas River Project on August 19, 2010.","FERC, U.S. Department of the Interior, U.S. Army Corps of Engineers, Kansas Department of Transportation, Westar Energy","Not mentioned. 

There are no specific dollar amounts or financial information related to construction costs, annual operational costs, mitigation measure costs, environmental compliance costs, capital improvements, or any other project-related expenditures mentioned in the document text.",Not mentioned.,"Not mentioned. 

The document does not mention any minimum flow requirements or releases for the project. It discusses the existing dam, powerhouse, and water uses in the area, but does not specify any minimum flow values or conditions.",Douglas County; Lawrence; Kansas River
P14066_License_20130129.pdf,"The official project name or dam name mentioned in the document is:

""Gartina Falls Hydroelectric Project No. 14066"" 

or more specifically, it is also referred to as ""Project No. 14066-002, Gartina Falls Project"". 

So, the most complete project name found is: 

""Project No. 14066-002, Gartina Falls Hydroelectric Project""","Owned by Sealaska Corporation and Huna Totem Corporation, Operated by Inside Passage Electric Cooperative.",Not mentioned,Hoonah,Gartina Creek,450 kW,run-of-river,"Here are the key licensing dates for the FERC-licensed project:

* Original license: January 29, 2013
* Application filing date: May 25, 2012
* Public notice date: July 27, 2012
* Deadline for filing motions to intervene, protests, comments: August 27, 2012

No other significant dates such as amendment dates, license expiration date, or relicensing dates are mentioned in the document.","Here is the list of major stakeholders mentioned in the document:

* FERC (Federal Energy Regulatory Commission)
* U.S. Fish and Wildlife Service
* Alaska Department of Fish and Game
* Sealaska Corporation 
* Huna Totem Corporation 

Note that other stakeholders, such as local governments or environmental organizations, are not explicitly mentioned in the provided text.","Construction: Not mentioned; Annual O&M: $514,800 (or $284.42/MWh) as proposed, $518,530 (or $286.48/MWh) as licensed; Other costs: $24,180 (difference between project cost and alternative power cost in the first year of operation as proposed), $20,450 (difference between project cost and alternative power cost in the first year of operation as licensed), $538,980 (total value of the project power).","Anadromous salmonids are mentioned, which includes species such as Chinook salmon, Coho salmon, Sockeye salmon, and other salmon species, but no specific species is listed. Therefore, the answer is:

Anadromous salmonids (including potential species like Chinook salmon, Coho salmon, Sockeye salmon)","10 cfs continuous, through an 80-foot-long, 12-inch-diameter minimum flow pipe conveying discharge flow to the base of Gartina Falls.",Hoonah; Gartina Creek
P1432_License_19900611.pdf,"The official project name is ""Dry Spruce Bay Project"" (also referred to as ""Project No. 1432-004""). 

Note that there is no specific dam name mentioned in the document, but rather references to earthen dams controlling the upper and lower storage ponds. The full designation of the project is ""Project No. 1432-004, Dry Spruce Bay Project"".",Owned and Operated by Wards Cove Packing Company.,Kodiak Island Borough,"Kodiak Island Borough is mentioned, but since it's a borough (a type of administrative division), I'll look for the nearest city or town.

The document mentions ""Kodiak Island"", which suggests that the project is located on Kodiak Island. The nearest city to the project would likely be Kodiak, which is the main city on Kodiak Island.

Therefore, the answer is: Kodiak",Dry Spruce Bay,The hydroelectric generation capacity of this project is 75 kilowatts.,peaking,"Here are the key licensing dates extracted from the document:

Original license: Not mentioned; 
License issuance date: June 11, 1990 (effective the first day of the month in which this order is issued); 
Amendment dates: Not mentioned; 
License expiration date: October 26, 2019 (30 years after the effective date of the license, which would be July 1, 1990, based on the issuance date); 
Relicensing dates: The original license expired on October 26, 1988. 

Note that these dates are inferred from the text and may not be explicitly stated.","FERC, U.S. Bureau of Land Management, Alaska Department of Environmental Conservation, Alaska Department of Natural Resources.","Not mentioned. 

There are no specific dollar amounts or financial information related to construction costs, annual operational costs, mitigation measure costs, environmental compliance costs, capital improvements, or any other project-related expenditures mentioned in the document text.",Not mentioned.,"Not mentioned. 

The document does not mention any minimum flow requirements, including minimum instantaneous flow, minimum daily average flow, base flow requirements, environmental flow requirements, required continuous releases, or license article requirements specifying flows.",Kodiak Island Borough; the answer is: Kodiak; Dry Spruce Bay
P1494_License_19920424.pdf,"The official project name or dam name mentioned in the document is:

""Project No. 1494-002, Pensacola Project""

This name is mentioned multiple times throughout the document, including in the title and in references to the Grand River Dam Authority's license application. The ""Pensacola Project"" appears to be the specific name of the dam or project, while ""Project No. 1494-002"" is the official designation assigned by the Federal Energy Regulatory Commission (FERC).",Owned and Operated by Grand River Dam Authority (GRDA).,"Craig, Delaware, Mayes, and Ottawa Counties","The nearest city or town mentioned is not explicitly stated, but based on the location descriptions, it can be inferred that the project is located near several counties in Oklahoma, including Craig, Delaware, Mayes, and Ottawa Counties.

However, a specific city is mentioned as the location of the Oklahoma Department of Wildlife Conservation: ""Oklahoma City, Oklahoma"".

Therefore, the answer is: Oklahoma City.",Grand Neosho River,86.9 MW,run-of-river,"Here are the key licensing dates extracted from the document:

* Original license: Not mentioned
* License issuance date: April 24, 1992 (new license)
* Amendment dates: June 15, 1987 (State of Oklahoma filed an untimely motion to intervene), September 12, 1991 (Commission granted late intervention)
* License expiration date: Not mentioned
* Relicensing dates: The document mentions a relicensing proceeding, but the specific date of the original license or previous relicensing is not mentioned. However, it does mention that the new license was issued on April 24, 1992.

So, the extracted dates with context are:
""License issuance date: April 24, 1992; Amendment: June 15, 1987 (motion to intervene), September 12, 1991 (late intervention granted)""","Here is a brief list of major stakeholders mentioned in the document:

* FERC (Federal Energy Regulatory Commission)
* U.S. Fish and Wildlife Service
* State of Oklahoma
* Oklahoma Department of Wildlife Conservation
* The Nature Conservancy, Oklahoma Chapter 
* Grand River Dam Authority (GRDA)","Here are the project-related costs mentioned in the document:

* Construction costs: Not mentioned
* Annual operational costs: 
  - Operation and maintenance (O&M) costs: $4.0 mills per kilowatthour (kWh)
  - Administrative and general costs: Included in the levelized costs, but not specified separately
* Mitigation measure costs:
  - Seeding 1,000 acres of mudflats with Japanese millet: $10,000 per season (estimated average cost of $10 per acre)
  - Monitoring and enhancing dissolved oxygen concentrations: Not specified
  - Other measures: Not specified
* Environmental compliance costs: 
  - Estimated additional cost to GRDA's ratepayers if a nonpower license were issued: $6.03 million
* Capital improvements: Not mentioned

Note that some of these costs are not directly related to the project's construction or operation, but rather to the mitigation measures and environmental compliance requirements.",Not mentioned.,"Not mentioned. 

The text does not mention any minimum flow requirements or releases for the project. It discusses various environmental measures, such as reservoir level management, mudflat seeding, and dissolved oxygen monitoring, but does not specify a minimum flow requirement.","Craig, Delaware, Mayes, and Ottawa Counties; the answer is: Oklahoma City.; Grand Neosho River"
P1773_License_19921015.pdf,"The official project name or dam name mentioned in the document is:

""Project No. 1773-001, Yellowstone Project""

This name is mentioned in the title and throughout the document as the official designation for the project. Note that ""Yellowstone Project"" is the commonly used name, but the full designation includes the project number.",Owned and Operated by Moon Lake Electric Association.,Duchesne County,"Not mentioned.

Although the document mentions Duchesne County and Utah as the location of the Yellowstone Project, it does not specifically mention a city or town name. Ashley National Forest and Uintah and Ouray Reservations are also mentioned, but they are not cities or towns. Therefore, the answer is ""Not mentioned"".",Yellowstone River,900 kW,Run-of-river.,"Here are the significant licensing dates found with context:

* Original license: Not mentioned
* License issuance date: October 15, 1992 (new license)
* Amendment dates: Not mentioned
* License expiration date: Not mentioned
* Relicensing dates: The document mentions that the project is being relicensed, but it does not provide a specific relicensing date. However, it mentions that the original exemption from filing an emergency action plan was granted in March 1990.

Note that the original license date is not mentioned in the provided text, and the only license issuance date mentioned is for the new license issued on October 15, 1992.","Here is the list of major stakeholders mentioned:

* FERC (Federal Energy Regulatory Commission)
* U.S. Forest Service
* Utah Department of Natural Resources 
* Pacific Northwest Electric Power and Conservation Planning Council 
* Moon Lake Electric Association 
* Ashley National Forest 
* Uintah and Ouray Reservations (Tribal nations)",Not mentioned.,Not mentioned.,Not mentioned.,Duchesne County; Yellowstone River
