File,Project / Dam,Owner / Operator,"Location (County, City, River)",Generation Capacity,Plant Type (Run-of-river / Peaking),Licensing / Authorization Date,Key Stakeholders,Project Costs,Migratory Fish Species
P2170_License_20070824.pdf,Cooper Lake Project (AK),Chugach Electric Association,"Cooper Lake/Creek & Kenai Lake near Cooper Landing, AK; Chugach NF",19.38 MW (2×9.69),Peaking / integrated dispatch,"New license Aug 24, 2007 (50 yrs)",Chugach; USFS; USFWS; NMFS; NPS; AK DNR/DFG; Kenaitze Tribe; NGOs,Levelized ? $5M/yr cost; value ? $9.7M ? ~$4.7M net,Salmon & trout restoration; mandated Cooper Creek flows (10–30 cfs)
P2230_License_20070710.pdf,Blue Lake Project (AK),City & Borough of Sitka,"Sawmill Creek, Sitka, AK; Tongass NF",7.54 MW,Base load (paired w/ Green Lake for peaking),"New license Jul 10, 2007 (eff. Apr 1, 2008)",Sitka; USFS; NMFS; USFWS; AK DFG/DEC; Sitka Tribe,? $1.24M/yr cost vs ? $11.7M diesel value,"Pink, chum, coho salmon; steelhead mitigation (Indian River)"
P2232_License_20151125.pdf,Catawba–Wateree Project (11 developments),"Duke Energy Carolinas, LLC","Catawba & Wateree Rivers, NC & SC",819.1 MW auth. (some inoperable),Peaking / load-following,"New license Nov 25, 2015",Duke; USFWS; NMFS; NC & SC agencies; Catawba Indian Nation; 29 local govts; 26 NGOs,Major basin settlement; costs not itemized,"Spawning flows & spring stabilization; ESA: shortnose sturgeon, robust redhorse, mussels"
P2307_License_20180206.pdf,Annex Creek & Salmon Creek Project (AK),Alaska Electric Light & Power Co. (AEL&P),"Juneau Borough, AK; within Tongass NF",10.582 MW (Annex 3.675; Salmon 6.907),Storage / base-load,"Relicense Feb 6, 2018 (eff. Sep 1, 2018; 40 yrs)",AEL&P; USFS; USFWS; NMFS; AK DNR/DEC; SHPO; Tlingit & Haida; Douglas IA; Angoon,Avg annual cost ~$3.84M; value ~$7.23M ? ~$3.39M net,EFH: coho/pink/chum (lower Salmon Cr.); flow floor ?3 cfs if gage <9 cfs
P2373_License_19930930.pdf,Rockton Project (IL),"South Beloit W,G&E (Wisconsin P&L subsidiary)","Rock River, Rockton, Winnebago Co., IL",1.1 MW (2 units; 5.3 GWh/yr),Run-of-river,"Subsequent license Sep 30, 1993 (30 yrs)",South Beloit/WP&L; USFWS; IL Dept. of Conservation; SHPO; Village of Rockton,"Net ? $24,380/yr; monitoring cost savings via reservoir transducer","Smallmouth bass, walleye; min. flow 300 cfs in bypass; fishway authority reserved"
P2517_License_20040512.pdf,Dam No. 5 Hydro (WV/MD),"Allegheny Energy Supply Co., LLC","Potomac River, Berkeley Co., WV (C&O Canal NHP, MD side)",1.21 MW (2 units; 4.6 GWh/yr),Run-of-river,"Subsequent license May 12, 2004 (30 yrs)",Allegheny; NPS (C&O Canal); USFWS; BIA; MD DNR; WV DNR/DEP; Interior,Gen value ? $187k vs cost ? $358k ? ?$171k/yr,American eel: eelways + nighttime shutdowns (Sep–Dec); sport fish maintained
P2566_License_20010620.pdf,Webber Project (MI),Consumers Energy Company,"Grand River, near Portland, Ionia Co., MI",3.25 MW (2 units; ~15.1 GWh/yr),Run-of-river (headwater-based),"New license Jun 20, 2001 (40 yrs)",Consumers; MDNR; Interior; MDEQ; USFWS,? $1.43M/yr cost vs ? $0.44M value ? ?$1.08M/yr,Seasonal ladder flows; 14-day spring smolt shutdown; bald eagle protections
P2724_License_20011221.pdf,City of Hamilton Project (OH),"City of Hamilton, Ohio","Great Miami River, Butler Co., OH",1.5 MW (upgrade to 1.94 MW); ~10.2 GWh/yr,Run-of-river,"New license Dec 21, 2001 (30 yrs)",City; Ohio EPA; USFWS; Ohio DNR; SHPO,Annual cost ~$77.6k; ~$365k cheaper than alt.,Indiana bat (summer habitat); min flows 400 cfs Apr–Jun 15; 250 cfs rest
P2742_License_19780621.pdf,Solomon Gulch Project (AK),"Copper Valley Electric Association, Inc.","Solomon Gulch Creek, near Valdez, AK","12 MW (2×6); ~54,565 MWh/yr",Storage / peaking,"License Jun 21, 1978 (50 yrs)",CVEA; DOI/BLM; USFWS; NMFS; AK DNR/DEC/ADF&G; EPA; REA; NPS,Est. $31.65M (1976); annual net benefit ? $2.48M,Pink & chum salmon (intertidal spawning); min flows ?3.5 cfs; tailrace siting
P2743_License_19811005.pdf,Terror Lake Project (AK),"Kodiak Electric Association, Inc.","Terror & Kizhuyak Rivers, Kodiak, AK (Kodiak NWR)",20 MW (2×10); ~139 GWh/yr,Storage / firm,"License Oct 5, 1981 (50 yrs)",KEA; USFWS; NMFS; State of AK; NGOs,"Est. $159.16M; B/C = 1.44 (yr 1), 3.57 (50 yrs)","Anadromous salmonids; min flows 100 cfs (Jan–Apr), 65 (May–Oct), 62 (Nov–Dec)"
P2972_License_19801106.pdf,Woonsocket Falls Project (RI),"City of Woonsocket, RI","Blackstone River, Providence Co., RI",1.1 MW (2×550 kW); ~6.63 GWh/yr,Run-of-river,"License Nov 6, 1980 (40 yrs)",City; USFWS; RI DEC; RI SHPO,"Saves ~10,900 barrels oil or 3,100 tons coal/yr; municipal loads",Not specified (no anadromous runs at site)
P3015_License_19810805.pdf,Tyee Lake Project (AK),Alaska Power Authority,"Tyee Creek near Wrangell, AK; Tongass NF",20 MW (2×10; provision for 3rd); ~133 GWh/yr,Storage; firm hydro,"License Aug 5, 1981 (50 yrs)",APA; USFS; USFWS; NMFS; AK DFG/DNR; USACE; REA,"Est. $64.1M; saves ~245,500 barrels oil/yr",Arctic grayling loss mitigated; salmon/trout habitat impacts; fish plan required
P3017_License_19800717.pdf,Jetty Lake Project (AK),Richard K. Mathews,"Jetty Lake outlet creek, Tongass NF",50 kW,Minor RoR,"Short-form license Jul 17, 1980 (50 yrs)",FERC; USFS; NMFS; USFWS; AK DEC; SHPO,Micro-scale (hatchery/local use),Limited salmonid habitat; instream flow not required
P7396_License_19860416.pdf,Abiquiu Project (NM),Incorporated County of Los Alamos,"Rio Chama, Rio Arriba Co., NM (USACE dam)",11 MW (2×5.5); ~34 GWh/yr,Run-of-river (dependent on USACE ops),"License Apr 16, 1986 (50 yrs)",Los Alamos County; USACE; USFWS; NM agencies; EPA; SHPO,"Saves ~55,800 barrels oil or 15,700 tons coal/yr",Bald eagle wintering; instream flows during construction; DO monitoring
P7828_License_19951226.pdf,New Lahontan Powerplant (NV),Truckee–Carson Irrigation District,"Carson River at Reclamation’s Lahontan Dam, Churchill Co., NV",5 MW; ~14.35 GWh/yr,Run-of-river (BOR ops),"License Dec 26, 1985 (50 yrs)",TCID; Reclamation; USFWS; NV Dept. Wildlife; NV DCNR; SHPO,"Saves ~23,500 barrels oil or 6,600 tons coal/yr",Coldwater fishery; entrainment study (turbine mortality 5–20%)
P8221_License_19851231.pdf,Bradley Lake Project (AK),Alaska Power Authority,"Bradley River, Kenai Peninsula Borough, AK (BLM lands)",90 MW (2×45 Pelton); 369.2 GWh/yr,Peaking (carryover storage),"License Dec 31, 1985 (50 yrs)",APA; NMFS; USFWS; EPA; USACE; AK DNR/DEC/ADF&G; SHPO,Est. $300M; more economical than gas/coal,Pink salmon focus; temp & tailrace attraction; instream flows/monitoring
P10198_License_19880427.pdf,Pelican Project (AK),Pelican Utility Company,"Pelican Creek, Chichagof Island, Sitka Borough, AK; Tongass NF",0.7 MW installed (600 + 100 kW + 0.1 MW induction),Run-of-river,"Relicense Apr 27, 1988 (40 yrs; eff. 1986)",Pelican Utility; USFS; NMFS; USFWS; AK DFG; SHPO,Conservation upgrades; small rehab timeline,"Min flow 3 cfs; fish screen ?1""; ramping limits; NMFS/USFWS consult"
P10228_License_19910621.pdf,Cannelton Project (KY/IN),"WV Hydro, Inc.","Ohio River at Cannelton L&D, Hancock Co., KY",80 MW (3 bulb units); ~358 GWh/yr,Run-of-river,"License Jun 21, 1991 (50 yrs)",WV Hydro; USACE; USFWS; KY DEP; KY DFW; ORSANCO; SHPO; FEMA,Net benefit ? $2.56M/yr; IRR ~15%,"Minimum flow 4,000 cfs (or inflow); entrainment reduction; downstream passage monitoring"
P10440_License_19931109.pdf,Black Bear Lake Project (AK),Alaska Power & Telephone Company,"Black Bear Lake & Creek, Prince of Wales Island, AK; Tongass NF",4.5 MW (2×2.25 Pelton); 12?23.1 GWh/yr,Storage/diversion (lake reservoir),"License Nov 9, 1993 (50 yrs)",APT; Sealaska; USFS (4e); USFWS; AK DFG/DEC/DNR; NMFS; cities,Levelized ~131 mills/kWh vs diesel 194 ? net benefit,Resident trout; min flows 9–24 cfs; intake fish screen
P10773_License_19900131.pdf,Burnett River Hatchery (AK),"Alaska Aquaculture, Inc.","Burnett River & Lake, Etolin Island, AK; Tongass NF",330 kW (250 + 80); ~2.75 GWh/yr,Run-of-river (hatchery supply focus),"Minor license Jan 31, 1990 (50 yrs)",Alaska Aquaculture; USFS; NMFS; USFWS; AK DFG; SHPO,Levelized ~152 mills/kWh vs diesel 377 ? benefit,Cutthroat trout & Dolly Varden; no anadromous above falls; intake screens
P10813_License_19920925.pdf,Summersville Project (WV),Town of Summersville (Noah Corp. agent),"Gauley River, Nicholas Co., WV; USACE dam",80 MW (3×24 + 1×8); ~198 GWh/yr,Peaking (USACE ops; whitewater releases),"License Sep 25, 1992 (50 yrs)",Summersville; USACE; USFWS; WV DNR; NPS; American Whitewater; outfitters; NGOs,Recreation/access funding; monitoring,"Trout waters; DO ?7 mg/L; whitewater: 2,500 cfs × 22 days; raptor-safe lines"
P10853_License_19911205.pdf,Otter Tail River Project (MN),Otter Tail Power Company,"Otter Tail River, Fergus Falls area, MN","3.45 MW across 5 devs; ~15,913 MWh/yr",RoR at 4 devs; Hoot Lake w/ releases,"License Dec 5, 1991 (eff. 1971; exp. 2021)",Otter Tail Power; USFWS; MDNR; USGS; SHPO; City Parks,Flow releases “cost” ? $46k/yr; rec benefits ? $23k/yr,"Walleye, smallmouth, mussels; season flows 30–110 cfs; rec boating"
P11243_License_19971224.pdf,Power Creek Project (AK),Whitewater Engineering Corp. (Eyak Corp. lands),"Power Creek ? Eyak Lake/River ? Orca Inlet (near Cordova, AK)",6 MW (3 units); ~14.2 GWh/yr,Run-of-river,"License Dec 24, 1997 (50 yrs)",Whitewater; NMFS; USFWS; USFS; AK DFG/DEC; Eyak Corp.,~$1.46M/yr cost vs ~$1.90M value; saves $438k vs diesel,Anadromous salmon present; bypass min flow 5 cfs
P12775_License_20110421.pdf,Spearfish Project (SD),"City of Spearfish, SD","Spearfish Creek, Lawrence Co., SD; Black Hills NF",4 MW (2×2 MW Pelton); ~16.8 GWh/yr,Run-of-river (max 120 cfs diversion),"License Apr 21, 2011 (30 yrs)",USFS; USFWS; SD GFP; SD DENR; Reclamation; NGOs,Levelized ? $527k/yr ($31.3/MWh) vs alt $821k ? ~$294k net,Rainbow trout; salvage plan 5-yr; bypass min flows 1–6 cfs; entrainment removal
P13124_License_20130801.pdf,Allison Creek Project (AK),"Copper Valley Electric Association, Inc.","Allison Creek near Valdez, AK","6.5 MW (2 Pelton); ~23,300 MWh/yr",Run-of-river,"License Aug 1, 2013 (50 yrs)",CVEA; NMFS; USFWS; AK DFG; Alyeska; AK SHPO,Levelized ? $3.78M vs alt $5.1M ? ~$1.3M net,Anadromous salmon below barrier; min flows 2–10 cfs; ramping & monitoring
P13526_License_20100819.pdf,Expanded Kansas River (Bowersock) (KS),Bowersock Mills & Power Co.,"Kansas River at Lawrence, Douglas Co., KS",6.5 MW (2.14 existing + 4.397 new),Run-of-river (±6 in pond),"Original license Aug 19, 2010 (50 yrs)",KDHE (401 WQC); USACE; USFWS; Interior (fishway res.); Kansas SHPO; City of Lawrence,? $20.6M capex; O&M ? $823k/yr; value ? $2.291M vs cost ? $2.526M (?$235k/yr),Pallid sturgeon not present at reach; fishway authority reserved
P14066_License_20130129.pdf,Gartina Falls Project (AK),Inside Passage Electric Cooperative,"Gartina Creek near Hoonah, AK (Sealaska & Huna Totem lands)","450 kW (1 cross-flow); ~1,810 MWh/yr",Run-of-river,"License Jan 29, 2013 (50 yrs)",IPEC; AK DFG; NMFS; USFWS; Sealaska; Huna Totem; AK SHPO,Levelized ? $518k ($286/MWh) vs alt $539k ? ~$20k net,Anadromous salmonids; min flow 10 cfs at base of falls; fish exclusion & monitoring
REDACTED 1987 LGR WCM rev2010_APPLIED.pdf,Lower Granite Lock & Dam (WA),USACE Walla Walla District,"Snake River, Garfield & Whitman Cos., WA; RM 107.5",810 MW (6×135 MW),Run-of-river,Authorized 1945; dam 1965–75; power online Apr 1975,USACE; BPA; NMFS; USFWS; ID & WA agencies; recreation interests,Not itemized in WCM,"Anadromous salmon & steelhead; ladders, juvenile bypass, screens, transport"
P11480_License_20001024.pdf,Reynolds Creek Project (AK),Haida Corporation,"Reynolds Creek near Hydaburg, Prince of Wales Island, AK",5 MW (Phase 1: 1.5; Phase 2: +3.5),Diversion w/ limited storage (Lake Mellen),"License Oct 24, 2000 (50 yrs)",Haida; NMFS; USFWS; AK DFG/DEC/DNR; AK Division of Gov. Coordination,Capex ? $12M; annual cost ? $646k vs value $537k ? ?$109k/yr,"Anadromous salmon, Arctic grayling; min flows 10–12 cfs; ramping & screens"
P11588_License_20021015.pdf,Otter Creek Hydroelectric (AK),Alaska Power & Telephone Company (AP&T),"Kasidaya Creek, Taiya Inlet (near Skagway & Haines), AK",3 MW (Turgo),Run-of-river,"License Oct 15, 2002 (50 yrs)",AP&T; USFS; NMFS; USFWS; AK DFG; AK DEC; AK Gov. Coordination,"Annual cost ? $919k; ~10,471 MWh/yr","Anadromous Dolly Varden & salmonids; EFH spp (cod, rockfish, salmon, etc.)"
P11659_License_20041029.pdf,Falls Creek Project (AK),Gustavus Electric Company,"Falls Creek (Kahtaheena River), ~5 mi E of Gustavus, AK",800 kW,Run-of-river,"License Oct 29, 2004 (50 yrs)",Gustavus Electric; NPS; NMFS; USFWS; AK DFG/DNR; Hoonah Indian Assoc.; NGOs,NPV $1.5–3.0M (w/ or w/o NPS load),Anadromous Dolly Varden; min flows 5–30 cfs; ramping; fishway reservation
P11841_License_20090317.pdf,Whitman Lake Project (AK),Ketchikan Public Utilities,"Whitman & Achilles Creeks, near Ketchikan, AK; Tongass NF",4.6 MW (3.9 + 0.7); ~16.5 GWh/yr,Run-of-river w/ diversions,"License Mar 17, 2009 (50 yrs)",KPU; USFS; BLM; AK DFG/DNR; SSRAA; NMFS; USFWS; Ketchikan Indian Community; OV Saxman,Levelized ? $1.58M vs value ? $5.95M ? ~$4.38M/yr net,Salmon (hatchery-supported); Dolly Varden; min flows (6–11 cfs); tailrace barriers; monitoring
P12379_License_20031224.pdf,Lake Dorothy Project (AK),"Lake Dorothy Hydro, Inc. (LDHI)","Lake Dorothy & Bart Lake; Dorothy Creek near Juneau, AK; Tongass NF","14.3 MW (1 Pelton); ~74,500 MWh/yr",Storage/peaking coordination,"License Dec 24, 2003 (50 yrs)",LDHI; AK DFG; USFS; NMFS; USFWS; AK DEC; SE Alaska Land Trust,Annual cost ? $3.84M (6.6¢/kWh) vs diesel $5.64M (9.7¢) ? ~$1.8M/yr,Brook trout; instream habitat & lake stage plans; ESA “no effect” on marine species
